address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1p3fxsvms9r695enrfmrgytgqrj574c7trw8dzqmvmy845ndu86wmsjsg38t,1779612.0,p2tr,28,2
bc1p3h7sdh6z4uthgh9atu0akd7r392y8j0kurz3j6h03e08qd557udsh7kdp3,1779612.0,p2tr,44,2
bc1p48rvkg7g3ddc237hknngjj2xw5her976yfftkluaps8x8xh4akgq23q7jn,1779612.0,p2tr,22,2
bc1p4ackvvw56yk82lmj594flxl9lgc29uwz64zjyv4ug97anpyx5zls95w220,1779612.0,p2tr,10,2
bc1p4mvs22rghhftm6e8g5ur5znuuuzalj94uzcamjapuejyguzunh8s2emgs0,1779612.0,p2tr,17,2
bc1p52s5933knlqnhveqwngefgeefx2xzvq8xm8qyz6p9tptt0d8hzastd25xc,1779612.0,p2tr,17,2
bc1p52ty8zrptq48kdllnzgnm38wvj4tcflauntutq5f8c36n48e8tcs5xjwla,1779612.0,p2tr,22,2
bc1p53qkpznma0vl0p90ck3rknfhpuq9y3dncfer6na4va87ae8r8lzqt999ry,1779612.0,p2tr,17,2
bc1p598fjuez6ugcnlew5w4kst9azzzaszdq7phvh7g8g0ymjk6h4wqscln86w,1779612.0,p2tr,13,2
bc1p5cfs4dvztuh0hva7jd6nejxlgramu6tpfvy4g3gesyc4exdn6y6q2e4yfq,1779612.0,p2tr,10,2
bc1p5sjvfs22rnw0a540jyn0vupxafdsku7zeuh64etm5t44hprz2jgsng4fcu,1779612.0,p2tr,14,2
bc1p62p7fh6z5lty085j0pr95fswj56ap0hqn4aenk2qdj9pxm8z3lps809mfu,1779612.0,p2tr,11,2
bc1p65awjj49zm5qvwv8j53r4hl3ukf4kdf93x8qpa5024jr5lawjwcqfsc36d,1779612.0,p2tr,13,2
bc1p6cgllmskkju98f3swyyhp7fuqy0s9czg9m4qrekfh83gx0weaszqn3mw0q,1779612.0,p2tr,6,2
bc1p6dwm5xpjgtazhkwv44uukm5kac3l35gfuhs65k7zh3c7qjuva80qrfmsuu,1779612.0,p2tr,15,2
bc1p6le23jp746m885xq0a765yxc24sl9ckx3vpdzsuw0fhq00uf2ajsydrudf,1779612.0,p2tr,14,2
bc1p6nq8svc74x4rt08t60glevlymsnmpr0csgyk42a7n7ushmmr6xzqx3c96l,1779612.0,p2tr,10,2
bc1p6vtvjzh4f40kelmrjk806zyn464mta7yzmypd6y8hhdqstd5pv7qyq2csh,1779612.0,p2tr,41,2
bc1p75753af3mn83wxg4jdmw9dgqnkknj976j545fzeqkzuska4fny4sdee96t,1779612.0,p2tr,11,2
bc1p78rs5u9q0082huxpgtlf0tc50x4y4zs2g65t8f3aazzxpe3cyn4s5yc373,1779612.0,p2tr,8,2
bc1p7fa7dfvwdujsrqxwauqa5mc8qkpf22ryqnutpjwvs22rkajxnxcseaa37d,1779612.0,p2tr,8,2
bc1p7gsfkq3unlzq4j5z9vhkyne3j9sf0wzpckxrgjggtpxk9js4hvuqqqndfx,1779612.0,p2tr,8,2
bc1p7med0v92uaqv6cw6jcp8sqdlnq6fzwddrxxtm6tzlw9t78mk0gus3v2y37,1779612.0,p2tr,8,2
bc1p7mvjwl3sjyfug2kzry5m473dljewqcz5xx8y4cnuyg7qh6f86ewsadxkfc,1779612.0,p2tr,12,2
bc1p7ractf6mwxgl8qkeff63w35ferjsah0trllk8wmxch80ejchra0qrt0u3w,1779612.0,p2tr,12,2
bc1p7wh2tkyyvca8xy0fyvwr0t90aseqy9y3ljk68dnmecwjrt3s744s7nd5s9,1779612.0,p2tr,9,2
bc1p8kt73kdxn5g2r5acg6vkse2m8l6yvlk47a28tnvejn9jchd5l9hq5v5pn6,1779612.0,p2tr,8,2
bc1p8lcxejsmxq8vwfqgmsq7fyldp8zzjea9tqg72y5wnduj8v2vamlqgw6d3z,1779612.0,p2tr,49,2
