address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1pasfcucrxzfz5z6rwttas840cn4v27f94yejxpy5l2m8fqdcqv9uqz2cgvy,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pdqzd4z228jvxsw0kttlpkst995ugzkp50fn4hta0ls0twuuf0yssdz9xpa,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pds3kjca5d99spmhhjd07mvxj4dap8rzgjw2lh08dwf4mfqsezd4qml53hz,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1peaf5jrv2tl6l0a202ekq0uk549uep6gj5sped5pvezxtnt05zd7qupxctg,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1peh2sytuezuw6fukg4gwc5g3xcv2gxnewylq87kg0a72seewy3xfs7c600a,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pgc8wvl6fstydsu4ql5qn750900wstq36qfmxgzjla57hr63v73hq5ym3pf,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pjgh0yfux269twk3fwflyfcvdncrq8jggz0gfhn94uptp0qsk4zgslx7xp2,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pjgsspl9f9e0gw95tmqxlv6dmt0nvm7vdcarnm4ml8s92h0f20v3sm2u5uj,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pkv87mwrfrvy5stvl9xgvtmwrx758l6hzsg25smlfhevee6kumxzs5ssc8e,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pn25hmgav74k9k4twed544nrvpm9hulsuwk3pve2aeq4jfpq28kxsx0gn3t,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1psynxguthdgdz2ezg49a5p2fk28uyrwfhpmcq28c0xtgjnc6p3dss2lkhud,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pu2wvg4j6yhhxrx7nfwu929xw405yxykgeg26s4pur4jc3cmkng0qd9ml0c,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pwx8s086wfwplnx5979q0le33k2qjxdquzzgxz5zmtk3l8uqflzyq56esjl,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pxgz6qg8xfdfcjtc2s4v0s2l74728j4prnuprt68h240jmrpp8naq9pxhgj,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pxjqycxfqassx8ssz8qnnv3eawtadjyfadm2jd85kpae9p2u856qsfnrvar,5338836.0,840654,2024-04-24T12:27:21Z,6
