rank,address,total_dog,lth_dog,sth_dog,lth_pct,sth_pct,utxo_count,lth_utxos,sth_utxos,weighted_avg_age_days,oldest_age_days,newest_age_days
62401,bc1pvhmzlxv38gyxsfxwahn6ufz9hsevkzqpvw5zlfw2wslgqx53f7uqgdua64,3000.0,3000.0,0.0,100.0,0.0,1,1,0,765.68,765.68,765.68
62402,bc1pavs4678qr7jhvsv8td5y5eq96849l9599dyy6cwfzsrtv9fefm6s2rnvcl,3000.0,3000.0,0.0,100.0,0.0,1,1,0,839.78,839.78,839.78
62403,bc1pecy4w4r6ktx4qc2pwl5ytmp78gz4k3qrq32el3gy9e98f8r6ajws6nl9dl,3000.0,3000.0,0.0,100.0,0.0,1,1,0,631.64,631.64,631.64
62404,bc1p3z5vtdfjtvjx9l2gs3gmtq3nh6y0tg255j0zl5y30p0jky7c568sjgjc6h,3000.0,3000.0,0.0,100.0,0.0,1,1,0,626.55,626.55,626.55
62405,bc1p62cc2824zv40u8zwvc0yavy55v63jfl67f7fe7tt7wd4p0rtnv3stj7ug3,3000.0,3000.0,0.0,100.0,0.0,1,1,0,832.16,832.16,832.16
62406,bc1phrw9qvqm3ccpgugm7f48sxfrfx8mh80luahqek3tqw4jd3v4hhhsx42fk2,3000.0,3000.0,0.0,100.0,0.0,1,1,0,686.91,686.91,686.91
62407,bc1qxufucr0kcytue29svk5ej4wdr7f4wv5cr89spt,3000.0,3000.0,0.0,100.0,0.0,1,1,0,768.93,768.93,768.93
62408,bc1p5gvqj8ndwsfj2jfz0s7g7hjyzeln20asu2kstsu3k2wz2du7jxaqd42nmu,3000.0,3000.0,0.0,100.0,0.0,1,1,0,836.86,836.86,836.86
62409,3EMGorf8WDTRtG4uYWua6B9yhNfrzovvMb,3000.0,0.0,3000.0,0.0,100.0,1,0,1,51.55,51.55,51.55
62410,bc1ph3sr352j9mk0ay4k5q7c85l4uyp9fx38cef4k6acgm6r7njdqpjq5pslp6,3000.0,3000.0,0.0,100.0,0.0,1,1,0,462.69,462.69,462.69
62411,bc1qlxtdmkxhr5l7gncwjktjm4apkk3wxg0he5tzds,3000.0,3000.0,0.0,100.0,0.0,1,1,0,353.82,353.82,353.82
62412,bc1pa9etg59fz2zn79cq4hdlcvsxd9ry74klymrwa7v7t4hcr8fvpzfs527t7x,3000.0,3000.0,0.0,100.0,0.0,1,1,0,830.61,830.61,830.61
62413,bc1ppydtvt4uvy6vyq8689tjwgdhy2wqq9cmc2yvzfx7la3ntjge72lqs3vt6z,3000.0,3000.0,0.0,100.0,0.0,1,1,0,649.22,649.22,649.22
62414,bc1pgqukhnp7weynvqzw2jz65flsp33t6anqv960efjxpxpln3rrz63q2wgw74,3000.0,3000.0,0.0,100.0,0.0,1,1,0,587.13,587.13,587.13
62415,bc1pk3274kzkrmaenhmc87r4rzr7yzssfaerdhe7zz8q7nascpygrghqlqq32z,3000.0,3000.0,0.0,100.0,0.0,1,1,0,664.12,664.12,664.12
62416,bc1px6ek6398ae6zs597ec72pxa8cgllp9ua3f9c4a90ngnw64pu3epqc70z9c,3000.0,3000.0,0.0,100.0,0.0,1,1,0,642.91,642.91,642.91
62417,bc1pvd5jwrzl2zlz2q7aekk9qc0wy0v8evjugegsa4fpuy6nerp66u8sv8ra9x,3000.0,3000.0,0.0,100.0,0.0,1,1,0,827.64,827.64,827.64
62418,bc1pdzhsmjc5avzpkm3kpuv8xgnpfms7y7e0tgjzml4439duye7thcpshmjxls,3000.0,3000.0,0.0,100.0,0.0,1,1,0,836.69,836.69,836.69
62419,bc1pnhyp6gqnufvhdak282y6m4jmkaagv5u39g83ep7j7867jrxgjupqw344py,3000.0,0.0,3000.0,0.0,100.0,1,0,1,109.75,109.75,109.75
62420,bc1phrhs8xjsc6wgkl8agyr76cvyyftqv25tfztl9rv46zzt0t35xueqhffmjj,3000.0,3000.0,0.0,100.0,0.0,1,1,0,634.76,634.76,634.76
62421,bc1pg5zhnqww002str6fm7vv2wmdjvrmx33dt0m293549ptprmm2gfwqqk5dzq,3000.0,3000.0,0.0,100.0,0.0,1,1,0,435.53,435.53,435.53
62422,bc1plm0t6hv9m6ln3fyqdtaefvnfy06g7d90jm2zm6fzfz9hsadwpnpqeuet2g,3000.0,3000.0,0.0,100.0,0.0,1,1,0,532.09,532.09,532.09
62423,bc1pr7pc2jd2czr4ucq8x9zuh59uj4jet62mklv8r20m70syvv4emksslvwwm6,3000.0,3000.0,0.0,100.0,0.0,1,1,0,616.88,616.88,616.88
62424,bc1pgu3tu6xrvqmdm7l7n5g2rjmfth4wymp5jznf776k2x8cepnhnxessmjtzk,3000.0,3000.0,0.0,100.0,0.0,1,1,0,686.93,686.93,686.93
62425,bc1ppa8l4sr8zy3fyff7hwtj9dwyrs4qqsmnm93z2d3hvrzw5uxx2xtspfgm67,3000.0,3000.0,0.0,100.0,0.0,1,1,0,836.02,836.02,836.02
62426,bc1pxgsx5799welc5tpl4mf203pxpxaq6yh36l0wyzzgu55la6c95qks8adkxr,3000.0,3000.0,0.0,100.0,0.0,1,1,0,202.46,202.46,202.46
62427,bc1ph7zsqw9tjt4t6dvg0a6je7hys8qpf69yqun2qydwnygrr6s0m7dsj593jq,3000.0,3000.0,0.0,100.0,0.0,1,1,0,626.99,626.99,626.99
62428,bc1pampmlpfhmm04v8ukmedn2dltj9x6zwfdlkque9vdn3050q3vgstqpw440q,2999.98925,2999.98925,0.0,100.0,0.0,1,1,0,159.72,159.72,159.72
62429,bc1qh80rdmlcgvn45f04nc4ag0pdj4z63he8hcqtnn,2999.46652,2999.46652,0.0,100.0,0.0,1,1,0,805.24,805.24,805.24
62430,bc1pt4wuq2jq044dw3ac0w93wzd6y3g67zm0n93p6agtf9k7cc86z3hqx5dd8l,2999.22562,2999.22562,0.0,100.0,0.0,1,1,0,743.01,743.01,743.01
62431,bc1punj5v073y3ap7ne2zgvlacnvzej272y4cyap9h0ear8kncqwgnsq0zu9nf,2999.04488,2999.04488,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62432,bc1p37lu5j6v5l4t4v8ste78aejjvyet7qdgkdqe0y09azx64hyuyh4sdgzfwt,2999.04487,2999.04487,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62433,bc1pujj73zwz5j43w5qs58247hkryrrzddda60ndpjwjrs4jscrtam4q9qnrme,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62434,bc1pzr70cv7eq7kxml9qdqakcfnp3ummc5j0qnhp7tfyuh7q2susvuxslmst9u,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62435,bc1pnta9svwsca5kzahfd74s03n8tfjdelf5k9spnfg788c4ray07n2sm3rrhz,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62436,bc1p3gmu54a3vuysaep564n6u274q2l8srcvc3sd2y4usmqv7ndkczxqdemxjx,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62437,bc1pyn2acrhyu3qm55encv44lzrd97xnckcu6qrsgl8ht04mgjrl22fsgjqc4s,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62438,bc1pcfkef3jkyfenvcy43yzhz37us0xvgps7cr0z9gldavy5mv5qaulqed7s35,2999.04484,2999.04484,0.0,100.0,0.0,2,2,0,678.59,700.7,656.49
62439,bc1p5zk9p5c7nncnty9yjy9r3zerhcwxpq9mgphnjgndh36g6xe76fpsvjmv3u,2997.4812,2997.4812,0.0,100.0,0.0,1,1,0,383.24,383.24,383.24
62440,bc1pke8j65qw7rkr45evsp3hhf4ma7wux58lcgdlpw69697zkzfztk4qctf0cp,2997.0,2997.0,0.0,100.0,0.0,1,1,0,585.17,585.17,585.17
62441,bc1pwuue968mg2tjjx943pjn48mnt4jjs0deq3mf58a2umjum7y7y4wsn783fm,2997.0,2997.0,0.0,100.0,0.0,1,1,0,580.81,580.81,580.81
62442,bc1pyu8c3qsjtkq253e62aru4e579t84q82qhmyfdx8dxraelm6z7rgskc90qy,2997.0,2997.0,0.0,100.0,0.0,1,1,0,560.26,560.26,560.26
62443,bc1p2nruamaf8zkcc3u2qwjjwsjcy9fedjwzx6cygnga3gpa5e26gy0sgjyrdc,2997.0,2997.0,0.0,100.0,0.0,1,1,0,585.15,585.15,585.15
62444,bc1pvshl6tpcnsqajfr3mzyjytt86ek97l35lsfxnwgt80h3g2a0fmjshakpue,2997.0,2997.0,0.0,100.0,0.0,1,1,0,549.24,549.24,549.24
62445,bc1pqgtayxsk2znjtvvtx344zr55w9xkgkwmlymz99arnqhtcw20wh6qv737p0,2997.0,2997.0,0.0,100.0,0.0,1,1,0,559.7,559.7,559.7
62446,bc1p805c9wp5lvx85s2m03dv0lxf6vpm0qd4fk4fmuhs2ygvqq0ajajqy4szyu,2997.0,2997.0,0.0,100.0,0.0,1,1,0,562.07,562.07,562.07
62447,bc1p2rhzk5elcts53v8r0zwqsnh8h73ax4fmgwg52z67krj3k3jzna3stg9w29,2997.0,2997.0,0.0,100.0,0.0,1,1,0,585.75,585.75,585.75
62448,bc1p4tcv7qjjnu0h9fhmk5kgtylvjz37msvrue6yq7d3y422zm8djpsqez377z,2993.71398,2993.71398,0.0,100.0,0.0,1,1,0,503.52,503.52,503.52
62449,bc1pd9kgtrev4l9q355fwfx8r2ewt4p3y3y8sa83akth6wrk4l9zad0q0237jn,2992.61253,2992.61253,0.0,100.0,0.0,1,1,0,618.13,618.13,618.13
62450,bc1pdwy4a3ncusfeucvmvdlmjhfvuvwplymwj2s764tvchq54hxfg2kq22hyp8,2991.825,2991.825,0.0,100.0,0.0,2,2,0,582.0,582.01,581.99
62451,bc1pszhw8caq0hm6znpq9allfe2p0ulqgtqx7lsdumqe4933u6g0em3samcums,2991.1,2991.1,0.0,100.0,0.0,1,1,0,367.53,367.53,367.53
62452,bc1p52tart8sec0kfjlfkj3ja5x5kg29gatzvp5vnhuczanlcev7vacswuduqk,2989.82458,2989.82458,0.0,100.0,0.0,1,1,0,595.69,595.69,595.69
62453,bc1p00g2ma05vc9jh45prfcl6fp5g2g2ms3cvrz46et5vtjkuwv3guuqwqww7q,2988.29619,2988.29619,0.0,100.0,0.0,1,1,0,503.49,503.49,503.49
