lapide,address,dog,utxo_count,posicao_residencial,airdrop,assinou,direito,x_m,z_m
L14947,bc1p0v8wc2wn09mfzw6xwg4f849h49gjgc7hmlju6phlc8pap68nncpqwl3awp,0.1912,1,81870,0,0,licença paga + mint do deed = lote no anel de expansão,-6648.77,-2170.57
L14948,bc1puq0jqxznun24ny4sd6tex8hkvy7yh7dhkqca42jyfeehmywtn43sgyplj9,0.19067,1,81985,0,1,licença paga + mint do deed = lote no anel de expansão,-6648.31,-2172.0
L14949,bc1pafry692904hdvv5l0rqhx3vg3g8guw4uw7c0lxe8cpqwk40h4ghql6d9ze,0.19,1,81830,0,0,licença paga + mint do deed = lote no anel de expansão,-6647.84,-2173.42
L14950,bc1pwztk2jjj2rz86v30p8luga9v6aw4wu3nylqwrlekan3xt3jeycfswnxh4z,0.1876,1,81777,0,0,licença paga + mint do deed = lote no anel de expansão,-6647.38,-2174.85
L14951,bc1qx5ra3y6uf6d8xmd439l77y8wtatd2439nzqj4a,0.1875,1,85765,0,0,licença paga + mint do deed = lote no anel de expansão,-6646.92,-2176.27
L14952,bc1qsmu3z64gsvzuz2wpr2kffdwvcensvw4mrekuwu,0.18561,1,81828,0,1,licença paga + mint do deed = lote no anel de expansão,-6646.45,-2177.7
L14953,bc1pkqhmjkpcdyf5wjstnqfzpjs3c9u447qqp6htv7krdkawwnhy0lzqeegefa,0.18334,1,81927,1,3,licença paga + mint do deed = lote no anel de expansão,-6645.99,-2179.13
L14954,bc1pw3v569d2d0vtqepmkw9sslygpmeslkzu8djlv82cnq6qf0sc6plsh8fk72,0.18216,1,81852,0,0,licença paga + mint do deed = lote no anel de expansão,-6645.53,-2180.55
L14955,bc1pw90ak9hs956crfrujj9gnq4cryffj56zspf5ta2aq895r490jnksed4xt7,0.1816,1,81807,0,0,licença paga + mint do deed = lote no anel de expansão,-6645.06,-2181.98
L14956,bc1q9svsr8h3ertlhn2hd08hn5g93p380v4963aw8c,0.18141,1,81920,0,0,licença paga + mint do deed = lote no anel de expansão,-6644.6,-2183.41
L14957,bc1ph6stks34yz60p7v4lr82c9z252d7asm07mvtck934p7vzgj02x8qj3j5fj,0.1788,1,81796,0,1,licença paga + mint do deed = lote no anel de expansão,-6644.14,-2184.83
L14958,bc1phyqu5pap5k02clpgj7384mwafng7rhvqqc4yvmahuvsk35k3muhq39780x,0.17824,1,85712,1,2,licença paga + mint do deed = lote no anel de expansão,-6643.67,-2186.26
